zone,promoter,total_m2,n_rooms,n_bathrooms,n_toilets,livingroom_m2,livingroom_p,kitchen_m2,kitchen_p,bathroom1_m2,bathroom1_p,bathroom2_m2,bathroom2_p,bathroom3_m2,bathroom3_p,toilet_m2,toilet_p,bdroom1_m2,bdroom1_p,bdroom2_m2,bdroom2_p,bdroom3_m2,bdroom3_p,bdroom4_m2,bdroom4_p,entrance_m2,entrance_p,corridor_m2,corridor_p,laundry_m2,laundry_p
Sevilla,Pol. Aerpuerto,58.35,2,1,0,18.40,24.66,7.95,10.65,3.98,9.39,,,,,,,14.54,19.48,8.93,11.97,,,,,2.30,6.33,2.25,6.19,,
Sevilla,SUNP-AE-1,57.31,2,2,0,18.33,24.56,8.23,11.03,3.36,7.93,2.37,5.59,,,,,12.93,17.33,8.76,11.74,,,,,1.10,3.03,2.23,6.13,,
Sevilla,Pino Montano ,54.90,2,1,0,16.25,21.78,7.15,9.58,4.00,9.44,,,,,,,13.40,17.96,9.80,13.13,,,,,4.30,11.83,,,,
Sevilla,M10 Bermejales,60.90,2,1,0,17.25,23.12,9.55,12.80,3.56,8.40,,,,,,,15.34,20.56,9.16,12.27,,,,,3.43,9.43,2.61,7.18,,
Sevilla,Macarena 40 / Aniceto,57.97,2,1,0,17.62,23.61,7.87,10.55,3.54,8.35,,,,,,,12.63,16.92,9.36,12.54,,,,,,,2.50,6.88,4.45,10.50
Sevilla,M10 Bermejales,53.49,2,1,0,17.19,23.03,7.26,9.73,3.50,8.26,,,,,,,10.45,14.00,9.82,13.16,,,,,2.84,7.81,2.43,6.68,,
Sevilla,M10 Bermejales,56.91,2,1,0,17.15,22.98,8.60,11.52,3.51,8.28,,,,,,,11.75,15.75,9.96,13.35,,,,,3.42,9.41,2.52,6.93,,
Sevilla,Macarena 40 / Aniceto,53.83,2,1,0,17.38,23.29,7.00,9.38,4.07,9.61,,,,,,,12.04,16.13,8.00,10.72,,,,,3.00,8.25,2.34,6.44,,
Sevilla,SUNP-AE-1,55.39,2,1,0,16.71,22.39,8.01,10.73,4.48,10.57,,,,,,,12.08,16.19,8.72,11.68,,,,,1.12,3.08,4.27,11.74,,
Sevilla,San Jeronimo,59.18,2,1,0,16.30,21.84,13.38,17.93,3.82,9.02,,,,,,,10.33,13.84,8.70,11.66,,,,,3.17,8.72,3.48,9.57,,
Sevilla,Pino Montano ,59.25,2,1,0,19.40,26.00,7.40,9.92,5.00,11.80,,,,,,,12.70,17.02,8.80,11.79,,,,,5.95,16.36,,,,
Sevilla,Pino Montano Emvisesa,59.85,2,1,0,18.70,25.06,7.00,9.38,3.50,8.26,,,,,,,14.40,19.30,9.10,12.19,,,,,3.75,10.31,3.40,9.35,,
